sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
13,29.278844643587835,0.9533538103134394,53.46745681762695,1.383589744567871,0.24128420228394948,220.0080108642578,213.12677001953125,True,10,0.0001,0.1,0.9
14,40.409905079185506,0.9849911624002506,3.031489849090576,1.162213921546936,0.25116574225063454,185.96670532226562,182.6431427001953,True,10,0.0001,0.0021544346900318,0.9
15,39.40995625469324,0.964638512247118,3.8812899589538574,0.6849675178527832,0.22489303648005182,203.4640350341797,184.22109985351562,True,10,0.0001,0.0464158883361277,0.9
16,37.6774498067827,0.9853117335414738,15.821544647216797,1.1925314664840698,0.32986032601707194,282.896240234375,304.93798828125,True,10,0.0001,0.0464158883361277,0.9
17,39.770639666593674,0.9804218109116589,29.052227020263672,2.486971139907837,0.3569342163906095,514.7816772460938,525.231689453125,True,10,0.0001,0.0464158883361277,0.9
18,35.6462424872958,0.9696841448837635,49.19422149658203,1.5169358253479004,0.27936818203312275,436.2696533203125,432.5130615234375,True,10,0.0001,0.0215443469003188,0.9
19,34.02716682167473,0.9650862085007292,32.594539642333984,1.311682105064392,0.3269002669812239,261.8180847167969,291.9378967285156,True,10,0.0001,0.0046415888336127,0.9
20,33.107617100476226,0.9432517908728836,156.81265258789062,2.719250202178955,0.2075496816512473,770.002685546875,612.2410278320312,True,10,0.0001,0.0464158883361277,0.9
21,28.556911863883798,0.9552836093986243,27.433979034423828,0.6204760670661926,0.38349811230576514,122.75493621826172,140.3543701171875,True,10,0.0001,0.0464158883361277,0.9
22,31.49611284457116,0.9647395458260802,59.6138801574707,2.0867037773132324,0.19146956650054858,296.9797058105469,292.8525085449219,True,10,0.0001,0.01,0.9
23,31.93437609674074,0.9460371741400292,86.10609436035156,2.1735455989837646,0.23809945186447845,414.27947998046875,366.9954833984375,True,10,0.0001,0.1,0.9
24,29.949198552184114,0.9359613905196589,210.08242797851562,4.33905029296875,0.3941948111889623,395.3961181640625,456.6139221191406,True,10,0.0001,0.001,0.9
25,36.47944300755836,0.9655518603921551,138.07325744628906,1.9987516403198242,0.25794604021428635,674.8302612304688,785.3908081054688,True,10,0.0001,0.0464158883361277,0.9
26,27.506851314894817,0.829951456912225,59.438541412353516,0.9104897379875183,0.2524261857286712,116.2914047241211,200.47410583496094,True,10,0.0001,0.0464158883361277,0.9
27,34.73316315944859,0.9778839786324585,88.98322296142578,2.5135929584503174,0.2131265162795788,553.8090209960938,514.72021484375,True,10,0.0001,0.0464158883361277,0.9
28,28.798125048498502,0.9238197414232231,404.39752197265625,4.392629623413086,0.2626535828985435,628.521484375,592.8221435546875,True,10,0.0001,0.0215443469003188,0.9
29,38.85532200129396,0.990874679941757,0.2921275794506073,0.24164867401123047,0.2680036706564969,48.09400177001953,47.403961181640625,True,10,0.0001,0.01,0.9
